Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
10-03-2023,24.4,31.6,28.3,85.0,6.5,7.6,6.0,330.0,2.0,C 
11-03-2023,,31.8,28.4,84.0,,9.2,4.0,340.0,1.0,C 
12-03-2023,26.2,31.0,28.7,84.0,0.0,8.2,4.0,300.0,2.0,C 
13-03-2023,26.3,31.8,28.5,80.0,8888.0,4.3,6.0,270.0,2.0,C 
14-03-2023,26.0,28.3,27.1,87.0,16.2,,5.0,310.0,3.0,N 
15-03-2023,24.0,28.2,24.8,96.0,36.4,0.0,3.0,300.0,0.0,C 
16-03-2023,24.0,31.2,27.6,86.0,18.5,0.0,5.0,340.0,1.0,C 
17-03-2023,25.2,32.0,28.7,82.0,0.0,9.6,4.0,310.0,1.0,C 
18-03-2023,26.2,32.5,28.6,78.0,0.0,9.5,6.0,110.0,2.0,C 
19-03-2023,26.4,31.8,28.9,84.0,0.0,8.8,3.0,50.0,1.0,C 
20-03-2023,26.6,32.6,29.1,82.0,,7.1,15.0,70.0,2.0,C 
21-03-2023,26.2,32.2,28.9,80.0,0.4,7.8,4.0,40.0,1.0,C 
22-03-2023,26.6,32.4,29.2,76.0,0.0,9.1,5.0,20.0,1.0,C 
23-03-2023,27.4,32.3,29.7,80.0,,8.1,5.0,40.0,2.0,C 
24-03-2023,28.0,32.8,29.9,79.0,0.0,8.0,4.0,10.0,1.0,C 
25-03-2023,27.8,32.2,28.6,84.0,0.0,7.7,9.0,220.0,3.0,C 
26-03-2023,25.2,31.4,27.4,87.0,3.2,3.0,6.0,300.0,2.0,C 
27-03-2023,25.6,31.6,27.8,83.0,8888.0,6.7,4.0,320.0,1.0,C 
28-03-2023,26.4,29.4,27.7,89.0,,4.7,4.0,90.0,1.0,C 
29-03-2023,26.2,31.2,27.7,84.0,,0.0,4.0,330.0,1.0,C 
30-03-2023,26.0,31.8,27.4,88.0,0.5,5.2,5.0,310.0,2.0,NW
31-03-2023,26.2,32.2,28.5,82.0,14.4,5.9,7.0,270.0,4.0,W 
01-04-2023,26.4,31.2,28.4,78.0,,4.2,8.0,250.0,4.0,W 
02-04-2023,26.4,31.6,28.4,83.0,0.2,1.8,7.0,300.0,2.0,NW
03-04-2023,25.8,32.1,28.5,79.0,0.0,8.1,6.0,10.0,3.0,W 
04-04-2023,26.2,32.6,28.7,78.0,0.5,7.4,4.0,320.0,3.0,W 
05-04-2023,26.2,32.8,28.8,83.0,,3.7,6.0,260.0,2.0,C 
06-04-2023,26.2,33.2,29.7,72.0,,8.8,5.0,300.0,2.0,C 
07-04-2023,26.8,33.0,29.2,74.0,0.0,4.8,4.0,10.0,2.0,C 
08-04-2023,27.0,32.6,30.2,72.0,0.0,8.1,5.0,330.0,1.0,C 
09-04-2023,27.2,32.2,29.0,80.0,0.0,9.1,5.0,280.0,3.0,W 
10-04-2023,27.2,32.4,28.8,78.0,0.0,6.6,6.0,280.0,4.0,W 
11-04-2023,25.4,31.7,28.9,78.0,2.0,5.6,10.0,260.0,6.0,W 
12-04-2023,27.4,34.0,29.4,74.0,0.6,5.7,10.0,280.0,4.0,W 
13-04-2023,26.6,34.7,29.6,74.0,8888.0,6.9,6.0,270.0,3.0,W 
14-04-2023,26.8,32.8,28.5,80.0,,6.4,5.0,20.0,2.0,C 
15-04-2023,26.6,32.0,29.3,80.0,17.0,7.7,4.0,20.0,2.0,C 
16-04-2023,26.8,32.1,28.9,80.0,,9.0,4.0,310.0,2.0,W 
17-04-2023,26.2,32.6,29.2,80.0,13.0,5.4,5.0,130.0,2.0,N 
18-04-2023,26.0,32.8,28.8,84.0,16.9,9.0,5.0,70.0,2.0,E 
19-04-2023,26.0,33.2,29.3,81.0,0.0,2.8,6.0,40.0,2.0,C 
20-04-2023,27.4,33.0,29.6,76.0,8888.0,8.1,5.0,40.0,1.0,C 
21-04-2023,27.0,32.8,29.4,80.0,0.5,6.9,5.0,80.0,2.0,NE
22-04-2023,27.4,34.0,30.3,74.0,0.0,8.7,6.0,100.0,3.0,E 
23-04-2023,27.8,33.6,30.0,78.0,0.0,8.7,6.0,90.0,2.0,C 
24-04-2023,27.8,33.5,30.0,78.0,,7.3,6.0,50.0,2.0,C 
25-04-2023,26.2,32.0,29.2,76.0,14.5,9.0,5.0,40.0,2.0,C 
26-04-2023,27.2,33.0,29.2,80.0,,3.5,5.0,40.0,2.0,C 
27-04-2023,27.4,32.6,29.9,78.0,8888.0,7.8,4.0,40.0,2.0,NE
28-04-2023,27.0,,29.3,83.0,11.7,8.3,5.0,10.0,1.0,C 
29-04-2023,27.2,32.0,29.3,80.0,,8.6,4.0,360.0,1.0,C 
30-04-2023,27.0,,,,0.0,4.8,,,,C 
01-05-2023,,31.4,29.1,82.0,,6.7,3.0,330.0,1.0,C 
02-05-2023,27.5,32.2,29.5,81.0,0.0,3.6,5.0,40.0,2.0,C 
03-05-2023,28.0,33.5,30.2,80.0,,0.9,4.0,50.0,2.0,C 
04-05-2023,26.6,33.0,29.4,81.0,21.7,7.3,5.0,20.0,2.0,C 
05-05-2023,27.2,33.0,29.8,79.0,1.5,8.6,5.0,110.0,2.0,SE
06-05-2023,26.0,32.4,28.9,81.0,70.5,8.2,3.0,20.0,1.0,C 
07-05-2023,26.6,32.6,28.7,82.0,,3.7,3.0,60.0,1.0,C 
08-05-2023,26.8,32.7,29.2,76.0,8888.0,5.0,4.0,50.0,1.0,C 
09-05-2023,23.0,33.8,30.7,76.0,,6.3,5.0,40.0,2.0,C 
10-05-2023,27.4,34.2,30.3,80.0,0.0,6.4,6.0,50.0,3.0,SE
11-05-2023,28.6,31.8,29.4,78.0,0.0,6.1,9.0,100.0,5.0,E 
12-05-2023,28.0,34.8,31.0,75.0,,2.5,8.0,110.0,4.0,E 
