,Tavg,RR,ff_avg,Sea level (cm)
2023-01-01 00:00:00,25.9,38.0,2.0,176.15384615384616
2023-01-02 00:00:00,27.2,134.4,3.0,171.07638888888889
2023-01-03 00:00:00,26.7,0.7,2.0,167.58041958041957
2023-01-04 00:00:00,27.0,3.2,2.0,170.3793103448276
2023-01-05 00:00:00,27.5,31.3,3.0,176.53103448275863
2023-01-06 00:00:00,29.2,1.5,4.0,179.59154929577466
2023-01-07 00:00:00,29.2,1.5,3.0,184.8951048951049
2023-01-08 00:00:00,27.5,0.0,4.0,183.93706293706293
2023-01-09 00:00:00,28.9,3.8,3.0,185.6549295774648
2023-01-10 00:00:00,29.6,0.0,3.0,188.25352112676057
2023-01-11 00:00:00,28.3,,1.0,184.7175572519084
2023-01-12 00:00:00,28.9,0.0,1.0,188.04964539007094
2023-01-13 00:00:00,29.4,0.0,1.0,191.6993006993007
2023-01-14 00:00:00,29.3,,2.0,189.6642857142857
2023-01-15 00:00:00,29.3,0.0,4.0,186.6595744680851
2023-01-16 00:00:00,29.0,0.0,3.0,185.55944055944056
2023-01-17 00:00:00,27.5,,3.0,184.0
2023-01-18 00:00:00,27.8,,2.0,176.00709219858157
2023-01-19 00:00:00,27.5,4.5,3.0,176.6013986013986
2023-01-20 00:00:00,28.4,0.2,2.0,176.81428571428572
2023-01-21 00:00:00,28.2,0.9,3.0,184.86206896551724
2023-01-22 00:00:00,28.9,0.0,4.0,187.02142857142857
2023-01-23 00:00:00,28.3,0.0,5.0,183.21830985915494
2023-01-24 00:00:00,28.8,,5.0,178.8881118881119
2023-01-25 00:00:00,27.0,0.8,4.0,180.22535211267606
2023-01-26 00:00:00,28.3,,3.0,181.06993006993008
2023-01-27 00:00:00,27.5,4.8,2.0,178.5034965034965
2023-01-28 00:00:00,25.8,30.5,2.0,183.46153846153845
2023-01-29 00:00:00,27.3,12.1,3.0,191.1118881118881
2023-01-30 00:00:00,28.2,,2.0,179.35416666666666
2023-01-31 00:00:00,28.1,0.0,3.0,183.70138888888889
2023-02-01 00:00:00,27.5,0.4,1.0,180.01398601398603
2023-02-02 00:00:00,28.0,82.5,2.0,181.08333333333334
2023-02-03 00:00:00,26.5,16.1,1.0,179.27972027972027
2023-02-04 00:00:00,28.2,0.2,3.0,185.27586206896552
2023-02-05 00:00:00,29.0,0.0,4.0,184.0211267605634
2023-02-06 00:00:00,29.3,,4.0,183.38888888888889
2023-02-07 00:00:00,28.1,0.0,2.0,188.74305555555554
2023-02-08 00:00:00,27.5,30.8,2.0,183.94444444444446
2023-02-09 00:00:00,27.0,0.3,4.0,190.95138888888889
2023-02-10 00:00:00,28.3,10.0,2.0,188.8732394366197
2023-02-11 00:00:00,27.9,4.9,3.0,194.06206896551726
2023-02-12 00:00:00,25.2,34.0,3.0,184.36805555555554
2023-02-13 00:00:00,28.2,2.0,3.0,176.09027777777777
2023-02-14 00:00:00,27.3,0.1,4.0,180.78014184397162
2023-02-15 00:00:00,28.7,0.0,4.0,179.67832167832168
2023-02-16 00:00:00,27.3,1.0,3.0,178.33793103448275
2023-02-17 00:00:00,26.9,16.3,2.0,182.1448275862069
2023-02-18 00:00:00,27.7,0.4,2.0,180.03378378378378
2023-02-19 00:00:00,27.9,2.5,3.0,182.3125
2023-02-20 00:00:00,27.9,0.2,4.0,185.77083333333334
2023-02-21 00:00:00,27.7,2.3,3.0,187.86111111111111
2023-02-22 00:00:00,27.8,13.0,2.0,184.82517482517483
2023-02-23 00:00:00,27.3,85.1,3.0,180.97931034482758
2023-02-24 00:00:00,26.0,60.5,2.0,185.63698630136986
2023-02-25 00:00:00,27.5,54.7,4.0,178.17808219178082
2023-02-26 00:00:00,27.1,17.3,4.0,179.04895104895104
2023-02-27 00:00:00,27.8,46.5,4.0,180.67605633802816
2023-02-28 00:00:00,26.9,15.0,3.0,172.09722222222223
